index,CustomerId,Age,Dependents,noReferrals,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,ChurnLabel,CustomerLTV,Monthly_charge,AvgRoamCharge,Y_predict
5779,C-15941,43,No,1,계좌이체,No,Yes,Yes,No,3,0,5757,117325.0,55940,1.0
5833,C-15996,57,No,0,계좌이체,No,No,No,Yes,13,0,2464,95397.0,33450,1.0
5848,C-16011,30,No,0,계좌이체,No,No,No,Yes,59,0,2421,89888.0,43840,1.0
5868,C-16031,22,No,0,계좌이체,No,No,No,Yes,41,0,5777,85295.0,19550,1.0
5882,C-16045,37,No,1,계좌이체,No,Yes,No,Yes,28,0,5118,125037.0,33340,1.0
5919,C-16083,56,No,1,계좌이체,No,Yes,No,Yes,8,0,4297,104894.0,26440,1.0
5929,C-16093,35,No,0,계좌이체,No,No,No,Yes,20,0,2421,81830.0,38530,1.0
5972,C-16137,66,No,1,계좌이체,No,No,No,Yes,16,0,5381,87798.0,2370,1.0
6000,C-16165,20,No,0,계좌이체,No,No,No,Yes,76,0,4922,98291.0,7350,1.0
6009,C-16174,29,No,0,계좌이체,No,No,No,Yes,85,0,4456,99059.0,54810,1.0
6086,C-16253,55,No,1,계좌이체,No,No,No,No,17,0,3296,108636.0,30280,1.0
6106,C-16273,78,No,0,계좌이체,No,No,No,No,9,0,4915,97512.0,28820,1.0
6176,C-16344,23,No,0,계좌이체,No,No,No,No,73,0,5939,121423.0,10060,1.0
6182,C-16350,63,No,0,계좌이체,No,No,No,Yes,5,0,5121,80814.0,33790,1.0
6186,C-16355,54,No,0,계좌이체,No,No,No,Yes,7,0,4320,80805.0,23840,1.0
6194,C-16363,53,No,0,계좌이체,No,No,No,Yes,14,0,2583,95537.0,10740,1.0
6247,C-16416,23,No,0,계좌이체,No,No,No,Yes,52,0,3997,91896.0,6100,1.0
6268,C-16437,65,No,0,계좌이체,No,No,No,Yes,30,0,5873,82838.0,19100,1.0
6279,C-16448,36,No,0,계좌이체,No,No,No,Yes,30,0,5470,111561.0,34350,1.0
6304,C-16473,23,No,0,계좌이체,No,No,No,No,41,0,3549,100694.0,21700,1.0
6306,C-16475,21,No,0,계좌이체,No,No,No,Yes,53,0,3521,85321.0,20910,1.0
6325,C-16495,70,No,0,계좌이체,No,No,No,No,23,0,3878,102600.0,29040,1.0
6340,C-16510,68,No,0,계좌이체,No,No,No,Yes,20,0,2636,117928.0,7800,1.0
6366,C-16536,77,No,0,계좌이체,No,No,No,Yes,16,0,5691,110545.0,42260,1.0
6368,C-16538,76,No,0,계좌이체,No,Yes,No,Yes,3,0,5028,103676.0,22710,1.0
6369,C-16539,47,No,1,계좌이체,No,No,No,Yes,8,0,4818,51441.0,0,1.0
6374,C-16545,74,No,0,계좌이체,No,No,No,Yes,24,0,3098,111048.0,30170,1.0
6393,C-16566,34,No,1,신용카드,No,Yes,Yes,Yes,14,0,5942,130197.0,34130,1.0
6406,C-16579,70,No,0,계좌이체,No,No,No,Yes,15,0,4509,93413.0,21700,1.0
6412,C-16585,60,No,0,계좌이체,No,No,No,No,14,0,3192,109986.0,34350,1.0
6417,C-16590,71,No,0,계좌이체,No,No,No,Yes,16,0,2534,81949.0,34470,1.0
6438,C-16611,42,No,0,계좌이체,No,No,No,Yes,26,0,4778,110380.0,36500,1.0
6445,C-16618,80,No,0,계좌이체,No,No,No,Yes,16,0,4173,109185.0,44750,1.0
6464,C-16637,26,No,0,계좌이체,No,No,No,Yes,52,0,5420,82741.0,40570,1.0
6474,C-16648,52,No,0,계좌이체,No,No,No,Yes,6,0,2332,96821.0,46560,1.0
6502,C-16677,36,No,1,계좌이체,No,Yes,No,Yes,24,0,5706,111378.0,29150,1.0
6503,C-16678,22,No,0,계좌이체,No,No,No,Yes,26,0,3399,88927.0,20340,1.0
6517,C-16693,53,No,0,계좌이체,No,No,No,No,10,0,4599,84148.0,44300,1.0
6575,C-16752,53,No,0,계좌이체,No,No,No,Yes,16,0,3650,82762.0,47230,1.0
6588,C-16765,72,No,0,계좌이체,No,No,No,Yes,5,0,2469,78369.0,3390,1.0
6589,C-16766,69,No,0,계좌이체,No,No,No,Yes,12,0,2422,79069.0,25200,1.0
6612,C-16789,33,No,0,계좌이체,No,No,No,Yes,10,0,2156,81007.0,28700,1.0
6620,C-16797,49,No,0,계좌이체,No,No,No,Yes,28,0,4928,107154.0,22260,1.0
6654,C-16831,63,No,1,신용카드,No,No,No,No,13,0,5187,82132.0,51750,1.0
6667,C-16844,51,No,0,계좌이체,No,No,No,Yes,26,0,2980,80250.0,1810,1.0
6672,C-16850,20,No,1,계좌이체,No,Yes,No,No,46,0,4725,116875.0,14010,1.0
6723,C-16903,79,No,1,계좌이체,No,No,No,Yes,2,0,2901,78629.0,36840,1.0
6733,C-16913,50,No,0,계좌이체,No,No,No,Yes,20,0,4294,98098.0,38080,1.0
6752,C-16932,62,No,1,계좌이체,Yes,No,No,No,23,0,2170,115124.0,14920,1.0
6759,C-16939,43,No,0,계좌이체,No,Yes,No,Yes,4,0,4237,90415.0,27570,1.0
6766,C-16946,52,No,0,계좌이체,No,Yes,No,Yes,12,0,5781,118319.0,27690,1.0
6815,C-16996,53,No,1,계좌이체,Yes,Yes,Yes,Yes,3,0,2429,121791.0,56160,1.0
6828,C-17009,75,No,0,이체/메일확인,No,No,No,Yes,19,0,5823,90244.0,45090,1.0
6829,C-17010,51,No,0,계좌이체,No,No,No,Yes,28,0,2383,101732.0,41810,1.0
